Akkermansia,Alistipes,Bacteroides,Blautia,Clostridium,Collinsella,Coprococcus,Dialister,Dorea,Eubacterium,Faecalibacterium,Lachnobacterium,Lachnospira,Odoribacter,Oscillospira,Parabacteroides,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,Subdoligranulum,Sutterella
0,651,1510,28,44,38,241,492,1,3,425,0,92,269,319,395,0,3421,298,19,33,314
0,0,9787,24,134,1,0,0,0,0,0,0,0,0,1,0,584,0,0,55,0,0
57,850,6123,41,114,0,82,17,5,8,456,11,39,144,216,1173,177,0,245,182,65,0
0,387,754,87,89,6,264,0,27,0,447,14,10,92,104,140,172,4295,542,87,45,0
0,68,5982,0,19,0,0,0,0,0,46,1,0,0,9,701,0,0,0,97,2,0
0,7,3246,205,207,7,13,0,0,4,215,0,98,0,67,145,207,0,0,222,1,9
5,414,947,72,64,5,34,374,6,39,555,74,5,1,468,22,1,2,172,1116,509,0
7,451,2500,37,61,3,100,477,6,15,186,6,12,107,1066,925,384,1618,62,66,69,57
5,257,4754,12,68,0,3,14,0,28,81,31,27,12,18,343,0,1,21,149,45,0
0,1070,34132,30,1431,31,13,0,48,9,2,0,0,0,277,4009,6056,4,4227,187,49,0
0,329,3976,50,80,2,46,4,10,10,231,7,55,74,256,326,1,0,58,2397,35,0
15,392,1109,48,141,7,23,0,1,0,15,0,3,6,1438,89,1,7,168,1698,85,0
0,0,8874,167,163,2,0,17,0,1,38,0,42,0,548,1686,0,0,207,181,7,129
0,93,3116,24,36,8,134,677,37,24,173,128,131,30,370,473,1,8708,163,465,45,72
3,133,1271,2,97,3,11,0,3,102,69,30,49,35,131,347,66,1,10,44,5,366
19,246,3424,60,88,6,115,1,14,67,690,5,72,35,506,352,24,1,480,229,177,0
718,76,553,233,160,4,180,1,34,18,93,1,51,0,67,74,32,4,654,197,699,0
104,201,1473,28,97,0,26,220,21,12,1130,3,94,22,251,32,0,0,81,514,887,0
303,301,331,19,34,14,58,0,2,7,47,11,29,10,5,21,13,0,615,835,138,0
0,76,1488,1,9,0,6,6,0,0,27,0,18,17,54,244,0,1218,13,2,3,106
0,3,85,1,0,0,0,0,0,0,3,0,0,0,3,0,0,1,1,0,1,0
3,411,2602,54,54,4,17,23,0,16,682,2,63,0,134,139,0,89,385,82,53,0
0,54,1704,2,61,0,140,0,2,178,1524,18,122,6,114,72,74,1,156,124,184,0
26,1361,6154,13,37,0,2,64,6,8,391,0,1,0,31,0,0,0,36,78,35,0
2,371,2095,24,30,0,29,55,6,13,414,10,43,0,104,130,0,0,335,65,38,0
0,298,4968,16,40,0,9,0,3,4,29,0,39,0,228,349,6,0,82,90,166,0
